IsDangerous,Contents,,
1,Bidones de aceite de linaza,,
1,Latas de insecticida en aerosol,,
1,Frascos de ácido fluorhídrico,,
1,Contenedores de ácido acético,,
1,Tambores de ácido sulfúrico,,
1,Envases de cloro líquido,,
1,Bolsas de ácido nítrico,,
1,Botellas de amoníaco para limpieza,,
1,Latas de espray de pintura,,
1,Botes de adhesivo para madera,,
1,Cajas de cohetes para fiestas,,
1,Tambores de hidróxido de sodio,,
1,Bolsas de peróxido de hidrógeno,,
1,Bidones de ácido cítrico,,
1,Latas de aceite de motor,,
1,Botellas de líquido refrigerante,,
1,Cajas de petardos de alto poder,,
1,Tambores de metanol,,
1,Bolsas de fluoruro de hidrógeno,,
1,Bidones de ácido sulfúrico diluido,,
1,Latas de aerosol de insecticida,,
1,Frascos de clorhidrato de anfetamina,,
1,Botellas de disolvente para pintura,,
1,Cajas de cohetes pirotécnicos de gran calibre,,
1,Tambores de dióxido de cloro,,
1,Bolsas de ácido sulfúrico,,
1,Bidones de gas propano,,
1,Latas de laca en aerosol,,
1,Botellas de gas natural comprimido,,
1,Cajas de baterías de ácido plomo,,
1,Tambores de clorato de potasio,,
1,Bolsas de permanganato de potasio,,
1,Bidones de peróxido de hidrógeno,,
1,Latas de espray de silicona,,
1,Botellas de ácido clorhídrico diluido,,
1,Cajas de cohetes para celebraciones,,
1,Tambores de cianuro de sodio,,
1,Bolsas de pentóxido de fósforo,,
1,Bidones de hidróxido de sodio,,
1,Latas de gasolina para motocicletas,,
1,Botellas de ácido nítrico diluido,,
1,Cajas de cohetes para eventos especiales,,
1,Tambores de hidróxido de potasio,,
1,Bolsas de ácido clorhídrico,,
1,Bidones de metanol industrial,,
1,Latas de espray de insecticida,,
1,Botellas de acetona para limpieza,,
1,Cajas de cohetes para fiestas de cumpleaños,,
1,Tambores de ácido fluorhídrico diluido,,
1,Bolsas de peróxido de hidrógeno,,
1,Bidones de ácido acético glacial,,
1,Latas de espray de pintura para graffiti,,
1,Botellas de ácido clorhídrico diluido,,
1,Cajas de petardos de alto poder,,
1,Tambores de dióxido de cloro,,
1,Bolsas de ácido sulfúrico diluido,,
1,Bidones de gas propano industrial,,
1,Latas de laca en aerosol para automóviles,,
1,Botellas de gas natural licuado para vehículos,,
1,Cajas de baterías de ácido plomo recargables,,
1,Tambores de clorato de potasio,,
1,Bolsas de permanganato de potasio,,
1,Bidones de peróxido de hidrógeno,,
1,Latas de espray de silicona para sellado,,
1,Botellas de ácido clorhídrico diluido para limpieza,,
1,Cajas de cohetes para espectáculos pirotécnicos,,
1,Tambores de cianuro de sodio,,
1,Bolsas de pentóxido de fósforo,,
1,Bidones de hidróxido de sodio industrial,,
1,Latas de gasolina para vehículos,,
1,Botellas de ácido nítrico diluido para limpieza,,
1,Cajas de cohetes para festivales,,
1,Tambores de hidróxido de potasio industrial,,
1,Bolsas de ácido clorhídrico diluido,,
1,Bidones de metanol puro,,
1,Latas de espray de insecticida para jardín,,
1,Botellas de acetona para disolvente de pintura,,
1,Cajas de cohetes para bodas,,
1,Tambores de ácido fluorhídrico industrial,,
1,Bolsas de peróxido de hidrógeno diluido,,
1,Bidones de ácido acético glacial diluido,,
1,Latas de espray de pintura para murales,,
1,Botellas de ácido clorhídrico diluido para limpieza,,
1,Cajas de petardos de alto poder para festivales,,
1,Tambores de dióxido de cloro diluido,,
1,Bolsas de ácido sulfúrico diluido,,
1,Bidones de gas propano industrial diluido,,
1,Latas de laca en aerosol para muebles,,
1,Botellas de gas natural licuado para estufas,,
1,Cajas de baterías de ácido plomo diluido,,
1,Tambores de clorato de potasio diluido,,
1,Bolsas de permanganato de potasio diluido,,
1,Bidones de peróxido de hidrógeno diluido,,
1,Latas de espray de silicona para impermeabilizar,,
1,Botellas de ácido clorhídrico diluido para limpieza,,
1,Cajas de cohetes para festivales de música,,
1,Tambores de cianuro de sodio diluido,,
1,Bolsas de pentóxido de fósforo diluido,,
1,Bidones de hidróxido de sodio diluido,,
1,Latas de gasolina para vehículos diluida,,
1,Botellas de ácido nítrico diluido para limpieza,,
1,Cajas de cohetes para desfiles militares,,
1,Tambores de hidróxido de potasio diluido,,
1,Bolsas de ácido clorhídrico diluido,,
1,Bidones de metanol puro diluido,,
1,Latas de espray de insecticida diluido,,
1,Botellas de acetona para disolvente de pintura diluida,,
1,Cajas de cohetes para festivales de cine,,
1,Tambores de ácido fluorhídrico industrial diluido,,
1,Bolsas de peróxido de hidrógeno diluido,,
1,Bidones de ácido acético glacial diluido,,
1,Latas de espray de pintura para murales diluida,,
1,Botellas de ácido clorhídrico diluido para limpieza diluida,,
1,Cajas de petardos de alto poder para festivales diluidos,,
1,Tambores de dióxido de cloro diluido,,
1,Bolsas de ácido sulfúrico diluido,,
1,Bidones de gas propano industrial diluido,,
1,Latas de laca en aerosol para muebles diluida,,
1,Botellas de gas natural licuado para estufas diluido,,
1,Cajas de baterías de ácido plomo diluido,,
1,Tambores de clorato de potasio diluido,,
1,Bolsas de permanganato de potasio diluido,,
1,Bidones de peróxido de hidrógeno diluido,,
1,Latas de espray de silicona para impermeabilizar diluida,,
1,Botellas de ácido clorhídrico diluido para limpieza diluida,,
1,Cajas de cohetes para festivales de música diluidos,,
1,Tambores de cianuro de sodio diluido,,
1,Bolsas de pentóxido de fósforo diluido,,
1,Bidones de hidróxido de sodio diluido,,
1,Latas de gasolina para vehículos diluida,,
1,Botellas de ácido nítrico diluido para limpieza diluida,,
1,Cajas de cohetes para desfiles militares diluidos,,
1,Tambores de hidróxido de potasio diluido,,
1,Bolsas de ácido clorhídrico diluido,,
1,Bidones de metanol puro diluido,,
1,Latas de espray de insecticida diluido,,
1,Botellas de acetona para disolvente de pintura diluida,,
1,Cajas de cohetes para festivales de cine diluidos,,
1,Tambores de ácido fluorhídrico industrial diluido,,
1,Bolsas de peróxido de hidrógeno diluido,,
1,Bidones de ácido acético glacial diluido,,
1,Latas de espray de pintura para murales diluida,,
1,Botellas de ácido clorhídrico diluido para limpieza diluida,,
1,Cajas de petardos de alto poder para festivales diluidos,,
1,Tambores de dióxido de cloro diluido,,
1,Bolsas de ácido sulfúrico diluido,,
1,Bidones de gas propano industrial diluido,,
1,Latas de laca en aerosol para muebles diluida,,
1,Botellas de gas natural licuado para estufas diluido,,
1,Cajas de baterías de ácido plomo diluido,,
1,Tambores de clorato de potasio diluido,,
1,Bolsas de permanganato de potasio diluido,,
1,Bidones de peróxido de hidrógeno diluido,,
1,Latas de espray de silicona para impermeabilizar diluida,,
1,Botellas de ácido clorhídrico diluido para limpieza diluida,,
1,Cajas de cohetes para festivales de música diluidos,,
1,Tambores de cianuro de sodio diluido,,
1,Bolsas de pentóxido de fósforo diluido,,
1,Bidones de hidróxido de sodio diluido,,
1,Latas de gasolina para vehículos diluida,,
1,Botellas de ácido nítrico diluido para limpieza diluida,,
1,Cajas de cohetes para desfiles militares diluidos,,
1,Tambores de hidróxido de potasio diluido,,
1,Bolsas de ácido clorhídrico diluido,,
1,Bidones de metanol puro diluido,,
1,Latas de espray de insecticida diluido,,
1,Botellas de acetona para disolvente de pintura diluida,,
1,Cajas de cohetes para festivales de cine diluidos,,
1,Tambores de ácido fluorhídrico industrial diluido,,
1,Bolsas de peróxido de hidrógeno diluido,,
1,Bidones de ácido acético glacial diluido,,
1,Latas de espray de pintura para murales diluida,,
1,Botellas de ácido clorhídrico diluido para limpieza diluida,,
1,Cajas de petardos de alto poder para festivales diluidos,,
1,Tambores de dióxido de cloro diluido,,
1,Bolsas de ácido sulfúrico diluido,,
1,Bidones de gas propano industrial diluido,,
1,Latas de laca en aerosol para muebles diluida,,
1,Botellas de gas natural licuado para estufas diluido,,
1,Cajas de baterías de ácido plomo diluido,,
1,Tambores de clorato de potasio diluido,,
1,Bolsas de permanganato de potasio diluido,,
1,Bidones de peróxido de hidrógeno diluido,,
1,Latas de espray de silicona para impermeabilizar diluida,,
1,Botellas de ácido clorhídrico diluido para limpieza diluida,,
1,Cartuchos de munición de calibre .22,,
0,Ropa infantil,,
1,Latas de aerosol inflamable,,
0,Artículos de decoración para el hogar,,
1,Baterías de litio recargables,,
0,Libros educativos,,
1,Pintura en aerosol con contenido de gas butano,,
0,Juguetes de plástico,,
1,Botellas de gas propano para camping,,
0,Herramientas de jardinería,,
1,Cajas de fuegos artificiales,,
0,Ropa de abrigo,,
1,Botellas de ácido clorhídrico,,
0,Alimentos enlatados,,
1,Cilindros de gas comprimido para soldadura,,
0,Equipos deportivos,,
1,Tambores de desechos químicos,,
0,Productos de limpieza,,
1,Paquetes de fuegos artificiales,,
0,Plantas ornamentales,,
1,Tanques de oxígeno médico,,
0,Joyas de fantasía,,
1,Líquidos inflamables para encendedores,,
0,Utensilios de cocina,,
1,Cajas de bengalas de señalización,,
0,Ropa deportiva,,
1,Envases de queroseno para lámparas,,
0,Artículos de papelería,,
1,Botellas de ácido sulfúrico,,
0,Productos electrónicos,,
1,Latas de pintura a base de aceite,,
0,Herramientas de bricolaje,,
1,Botellas de gasolina para cortadoras de césped,,
0,Productos de higiene personal,,
1,Latas de removedor de pintura,,
0,Plantas en maceta,,
1,Contenedores de ácido nítrico,,
0,Artículos de oficina,,
1,Bolsas de fertilizante explosivo,,
0,Ropa interior,,
1,Botes de disolvente para limpieza de pinturas,,
0,Accesorios de moda,,
1,Paquetes de cerillas de fósforo,,
0,Juguetes de peluche,,
1,Tambores de ácido fluorhídrico,,
0,Plantas comestibles,,
1,Botes de insecticida en aerosol,,
0,Artículos de decoración navideña,,
1,Latas de combustible para antorchas,,
0,Libros de cocina,,
1,Cajas de baterías de litio,,
0,Artículos de camping,,
1,Tambores de ácido sulfúrico,,
0,Herramientas de carpintería,,
1,Envases de pegamento para modelismo,,
0,Plantas medicinales,,
1,Frascos de ácido clorhídrico,,
0,Ropa de bebé,,
1,Botellas de gas butano para estufas,,
0,Accesorios para mascotas,,
1,Latas de pintura en aerosol,,
0,Plantas de interior,,
1,Baterías de plomo-ácido recargables,,
0,Productos para el cuidado del cabello,,
1,Bombonas de propano para barbacoas,,
0,Productos para el cuidado de la piel,,
1,Contenedores de ácido fosfórico,,
0,Ropa de diseñador,,
1,Bolsas de nitrato de amonio,,
0,Electrodomésticos,,
1,Cajas de petardos de pólvora,,
0,Herramientas de jardinería,,
1,Tambores de cloruro de metileno,,
0,Artículos de decoración para el hogar,,
1,Botellas de gas natural licuado,,
0,Juguetes educativos,,
1,Botes de limpiador de desagües,,
0,Ropa formal,,
1,Cilindros de acetileno para soldadura,,
0,Ropa de cama,,
1,Bolsas de cianuro de sodio,,
0,Artículos para manualidades,,
1,Bidones de aceite de linaza,,
0,Ropa de deporte,,
1,Latas de insecticida en aerosol,,
0,Artículos de tocador,,
1,Frascos de ácido fluorhídrico,,
0,Accesorios para el cabello,,
1,Contenedores de ácido acético,,
0,Ropa interior,,
1,Tambores de ácido sulfúrico,,
0,Decoración para el hogar,,
1,Envases de cloro líquido,,
0,Plantas ornamentales,,
1,Bolsas de ácido nítrico,,
0,Juguetes de peluche,,
1,Botellas de amoníaco para limpieza,,
0,Productos electrónicos,,
1,Latas de espray de pintura,,
0,Utensilios de cocina,,
1,Botes de adhesivo para madera,,
0,Artículos de papelería,,
1,Cajas de cohetes para fiestas,,
0,Plantas ornamentales,,
1,Tambores de hidróxido de sodio,,
0,Artículos de cocina,,
1,Bolsas de peróxido de hidrógeno,,
0,Herramientas de jardinería,,
1,Bidones de ácido cítrico,,
0,Ropa casual,,
1,Latas de aceite de motor,,
0,Productos de limpieza,,
1,Botellas de líquido refrigerante,,
0,Plantas ornamentales,,
1,Cajas de petardos de alto poder,,
0,Artículos para el hogar,,
1,Tambores de metanol,,
0,Juguetes de plástico,,
1,Bolsas de fluoruro de hidrógeno,,
0,Ropa de invierno,,
1,Bidones de ácido sulfúrico diluido,,
0,Artículos de decoración navideña,,
1,Latas de aerosol de insecticida,,
0,Ropa de cama,,
1,Frascos de clorhidrato de anfetamina,,
0,Artículos de oficina,,
1,Botellas de disolvente para pintura,,
0,Juguetes de peluche,,
1,Cajas de cohetes pirotécnicos de gran calibre,,
0,Plantas de interior,,
1,Tambores de dióxido de cloro,,
0,Electrodomésticos,,
1,Bolsas de ácido sulfúrico,,
0,Ropa de diseñador,,
1,Bidones de gas propano,,
0,Productos para el cuidado de la piel,,
1,Latas de laca en aerosol,,
0,Plantas medicinales,,
1,Botellas de gas natural comprimido,,
0,Ropa informal,,
1,Cajas de baterías de ácido plomo,,
0,Artículos de camping,,
1,Tambores de clorato de potasio,,
0,Productos de limpieza,,
1,Bolsas de permanganato de potasio,,
0,Herramientas de bricolaje,,
1,Bidones de peróxido de hidrógeno,,
0,Accesorios de moda,,
1,Latas,,
1,Botellas de gas natural licuado para estufas diluido,,
0,Productos de limpieza,,
1,Cajas de baterías de ácido plomo diluido,,
0,Artículos de camping,,
1,Tambores de clorato de potasio diluido,,
0,Electrodomésticos,,
1,Bolsas de permanganato de potasio diluido,,
0,Utensilios de cocina,,
1,Bidones de peróxido de hidrógeno diluido,,
0,Ropa formal,,
1,Latas de espray de silicona para impermeabilizar diluida,,
0,Artículos de oficina,,
1,Botellas de ácido clorhídrico diluido para limpieza diluida,,
0,Ropa de invierno,,
1,Cajas de cohetes para festivales de música diluidos,,
0,Plantas ornamentales,,
1,Tambores de cianuro de sodio diluido,,
0,Herramientas de jardinería,,
1,Bolsas de pentóxido de fósforo diluido,,
0,Juguetes de peluche,,
1,Bidones de hidróxido de sodio diluido,,
0,Ropa de diseñador,,
1,Latas de gasolina para vehículos diluida,,
0,Ropa de bebé,,
1,Botellas de ácido nítrico diluido para limpieza diluida,,
0,Ropa deportiva,,
1,Cajas de cohetes para desfiles militares diluidos,,
0,Plantas ornamentales,,
1,Tambores de hidróxido de potasio diluido,,
0,Electrodomésticos,,
1,Bolsas de ácido clorhídrico diluido,,
0,Productos para el cuidado de la piel,,
1,Bidones de metanol puro diluido,,
0,Herramientas de bricolaje,,
1,Latas de espray de insecticida diluido,,
0,Artículos de papelería,,
1,Botellas de acetona para disolvente de pintura diluida,,
0,Artículos de decoración para el hogar,,
1,Cajas de cohetes para festivales de cine diluidos,,
0,Plantas ornamentales,,
1,Tambores de ácido fluorhídrico industrial diluido,,
0,Juguetes de plástico,,
1,Bolsas de peróxido de hidrógeno diluido,,
0,Accesorios para el cabello,,
1,Bidones de ácido acético glacial diluido,,
0,Ropa de cama,,
1,Latas de espray de pintura para murales diluida,,
0,Plantas de interior,,
1,Botellas de ácido clorhídrico diluido para limpieza diluida,,
0,Ropa casual,,
1,Cajas de petardos de alto poder para festivales diluidos,,
0,Artículos de tocador,,
1,Tambores de dióxido de cloro diluido,,
0,Ropa de bebé,,
1,Bolsas de ácido sulfúrico diluido,,
0,Juguetes de peluche,,
1,Bidones de gas propano industrial diluido,,
0,Ropa de cama,,
1,Latas de laca en aerosol para muebles diluida,,
0,Herramientas de bricolaje,,
1,Botellas de gas natural licuado para estufas diluido,,
0,Productos de limpieza,,
1,Cajas de baterías de ácido plomo diluido,,
0,Artículos de camping,,
1,Tambores de clorato de potasio diluido,,
0,Electrodomésticos,,
1,Bolsas de permanganato de potasio diluido,,
0,Utensilios de cocina,,
1,Bidones de peróxido de hidrógeno diluido,,
0,Set de ropa,,
0,ropa,,
0,set de ropa,,
0,libros,,
0,set de libros,,
0,Set de Libros,,
0,Cocina,,
0,set,,
0,Set,,
1,guns,,
1,ammo,,
1,explosives,,
1,armas,,
1,explosivos,,
1,tnt,,
1,GUNS,,
1,AMMO,,
1,EXPLOSIVES,,
1,TNT,,
1,CUCHILLOS,,
1,CUCHILLO,,
1,cuchillo,,
1,cuchillos,,
1,hidruros,,
1,HIDRUROS,,
1,municion,, 
1,MUNICION,,
1,munición,,
1,MUNICIÓN,,
1,drogas,,
1,drogas ilicitas,,
1,marihuna,,
1,marihuana,,
1,cocaina,,
1,cocaína,,
1,MARIHUANA,,
1,COCAINA,,
1,COCAÍNA,,
